"project_name","generated_at","total_successes","total_failures","total_errors","started_at","total_time","url","all_tests_passed","test_name"
"Snippets API","2021-06-11 16:08:42",2,0,0,"2021-06-11 16:08:42.404744","0:00:00.716611","http://demo.scanapi.dev/api/v1/health/",True,"snippets-api::health::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",2,0,0,"2021-06-11 16:08:42.404744","0:00:00.716671","http://demo.scanapi.dev/api/v1/health/",True,"snippets-api::health::body_equals_ok"
"Snippets API","2021-06-11 16:08:42",5,0,0,"2021-06-11 16:08:42.404744","0:00:01.639416","http://demo.scanapi.dev/api/v1/rest-auth/login/",True,"snippets-api::get_token::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",5,0,0,"2021-06-11 16:08:42.404744","0:00:01.639474","http://demo.scanapi.dev/api/v1/rest-auth/login/",True,"snippets-api::get_token::key_in_content"
"Snippets API","2021-06-11 16:08:42",5,0,0,"2021-06-11 16:08:42.404744","0:00:01.639519","http://demo.scanapi.dev/api/v1/rest-auth/login/",True,"snippets-api::get_token::response_time_is_under_a_second"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049335","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::status_code_is_201"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049375","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::response_time_is_under_a_second"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049404","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::url_in_content"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049431","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::id_in_content"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049463","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::highlight_in_content"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049546","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::owner_in_content"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049590","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::title_in_content"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049684","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::code_in_content"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049743","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::linenos_in_content"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049778","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::language_in_content"
